index,text_id,text
0,0x187CA,
1,0x187CA,
2,0x187CA,
3,0x187CA,
4,0x187CA,
5,0x187CA,
6,0x187CA,
7,0x187CA,
8,0x187CA,
9,0x187CA,
10,0x187CA,
11,0x187CA,
12,0x187CA,
13,0x187CA,
14,0x187CA,
15,0x187CA,
16,0x187CA,
17,0x187CA,
18,0x187CA,
19,0x187CA,
20,0x187CA,
21,0x187CA,
22,0x187CA,
23,0x187CA,
24,0x187CA,
25,0x187CA,
26,0x187CA,
27,0x187CA,
28,0x187CA,
29,0x187CA,
30,0x187CA,
31,0x187CA,
32,0x187CA,
33,0x187CA,
34,0x187CA,
35,0x187CA,
36,0x187CA,
37,0x187CA,
38,0x187CA,
39,0x187CA,
40,0x187CA,
41,0x187CA,
42,0x187CA,
43,0x187CA,
44,0x187CA,
45,0x187CA,
46,0x187CA,
47,0x187CA,
48,0x187CA,
49,0x187CA,
50,0x187CA,
51,0x187CA,
52,0x187CA,
53,0x187CA,
54,0x187CA,
55,0x187CA,
56,0x187CA,
57,0x187CA,
58,0x187CA,
59,0x187CA,
60,0x187CA,
61,0x187CA,
62,0x187CA,
63,0x187CA,
64,0x187CA,
65,0x187CA,
66,0x187CA,
67,0x187CA,
68,0x187CA,
69,0x187CA,
70,0x187CA,
71,0x187CA,
72,0x187CA,
73,0x187CA,
74,0x187CA,
75,0x187CA,
76,0x187CA,
77,0x187CA,
78,0x187CA,
79,0x187CA,
80,0x187CA,
81,0x187CA,
82,0x187CA,
83,0x187CA,
84,0x187CA,
85,0x187CA,
86,0x187CA,
87,0x187CA,
88,0x187CA,
89,0x187CA,
90,0x187CA,
91,0x187CA,
92,0x187CA,
93,0x187CA,
94,0x187CA,
95,0x187CA,
96,0x187CA,
97,0x187CA,
98,0x187CA,
99,0x187CA,
100,0x187CA,
101,0x187CA,
102,0x187CA,
103,0x187CA,
104,0x187CA,
105,0x187CA,
106,0x187CA,
107,0x187CA,
108,0x187CA,
109,0x187CA,
110,0x187CA,
111,0x187CA,
112,0x187CA,
113,0x187CA,
114,0x187CA,
115,0x187CA,
116,0x187CA,
117,0x187CA,
118,0x187CA,
119,0x187CA,
120,0x187CA,
121,0x187CA,
122,0x187CA,
123,0x187CA,
124,0x187CA,
125,0x187CA,
126,0x187CA,
127,0x187CA,
128,0x187CA,
129,0x7D4,Icy
130,0x7D5,Ebon
131,0x7D6,Shocking
132,0x7D7,Fiery
133,0x7D4,Icy
134,0x7D5,Ebon
135,0x7D6,Shocking
136,0x7D7,Fiery
137,0x7D4,Icy
138,0x7D5,Ebon
139,0x7D6,Shocking
140,0x7D7,Fiery
141,0x7D4,Icy
142,0x7D5,Ebon
143,0x7D6,Shocking
144,0x7D7,Fiery
145,0x96D,Defensive
146,0x969,Barbed
147,0x969,Barbed
148,0x96A,Crippling
149,0x96A,Crippling
150,0x96B,Cruel
151,0x96B,Cruel
152,0x96B,Cruel
153,0x96F,Furious
154,0x96F,Furious
155,0x96F,Furious
156,0x973,Insightful
157,0x970,Hale
158,0x975,Poisonous
159,0x975,Poisonous
160,0x975,Poisonous
161,0x972,Heavy
162,0x972,Heavy
163,0x96E,Zealous
164,0x96E,Zealous
165,0x96E,Zealous
166,0x96E,Zealous
167,0x971,Vampiric
168,0x971,Vampiric
169,0x971,Vampiric
170,0x971,Vampiric
171,0x974,Sundering
172,0x974,Sundering
173,0x974,Sundering
174,0x974,Sundering
175,0x187CA,
176,0x187CA,
177,0x187CA,
178,0x187CA,
179,0x187CA,
180,0x187CA,
181,0x187CA,
182,0x187CA,
183,0x187CA,
184,0x187CA,
185,0x187CA,
186,0x187CA,
187,0x187CA,
188,0x187CA,
189,0x187CA,
190,0x187CA,
191,0x187CA,
192,0x187CA,
193,0x187CA,
194,0x187CA,
195,0x187CA,
196,0x187CA,
197,0x977,Defense
198,0x977,Defense
199,0x97D,Warding
200,0x97D,Warding
201,0x97D,Warding
202,0x97D,Warding
203,0x97D,Warding
204,0x977,Defense
205,0x97B,Shelter
206,0x97B,Shelter
207,0x97B,Shelter
208,0x97B,Shelter
209,0x97B,Shelter
210,0x977,Defense
211,0x977,Defense
212,0x187CA,
213,0x187CA,
214,0x187CA,
215,0x187CA,
216,0x187CA,
217,0x979,Fortitude
218,0x979,Fortitude
219,0x979,Fortitude
220,0x979,Fortitude
221,0x979,Fortitude
222,0x978,Enchanting
223,0x978,Enchanting
224,0x978,Enchanting
225,0x978,Enchanting
226,0x978,Enchanting
227,0x187CA,
228,0x187CA,
229,0x187CA,
230,0x187CA,
231,0x187CA,
232,0x842,Axe Mastery
233,0x856,Marksmanship
234,0x844,Hammer Mastery
235,0x846,Swordsmanship
236,0x187CA,
237,0x187CA,
238,0x187CA,
239,0x187CA,
240,0x187CA,
241,0x187CA,
242,0x187CA,
243,0x187CA,
244,0x187CA,
245,0x187CA,
246,0x187CA,
247,0x187CA,
248,0x187CA,
249,0x187CA,
250,0x187CA,
251,0x187CA,
252,0x187CA,
253,0x187CA,
254,0x187CA,
255,0x187CA,
256,0x187CA,
257,0x187CA,
258,0x187CA,
259,0x187CA,
260,0x187CA,
261,0x187CA,
262,0x187CA,
263,0x187CA,
264,0x187CA,
265,0x187CA,
266,0x187CA,
267,0x187CA,
268,0x187CA,
269,0x187CA,
270,0x187CA,
271,0x187CA,
272,0x187CA,
273,0x187CA,
274,0x187CA,
275,0x187CA,
276,0x187CA,
277,0x187CA,
278,0x187CA,
279,0x187CA,
280,0x187CA,
281,0x187CA,
282,0x187CA,
283,0x187CA,
284,0x187CA,
285,0x187CA,
286,0x187CA,
287,0x187CA,
288,0x187CA,
289,0x187CA,
290,0x187CA,
291,0x187CA,
292,0x187CA,
293,0x187CA,
294,0x187CA,
295,0x187CA,
296,0x187CA,
297,0x187CA,
298,0x187CA,
299,0x187CA,
300,0x187CA,
301,0x187CA,
